publication_uuid,project_uuid,created_at
a1becda7-878a-4531-baef-ac19a99f219d,fa01caab-85a9-4750-bb8c-582fae234cce,2025-06-23 08:55:27.165958
f659d3c7-3963-4349-984f-f725dd053bc4,7f1fe1a7-39c3-4e65-b53e-09b89b230746,2025-06-23 08:55:27.166048
067e134e-b0ce-4aed-af0b-f0c7cd0c1fd3,14ad070e-e1f3-4abf-8f91-47cf84e2d840,2025-06-23 08:55:27.166119
be0beb53-3386-4dce-87e2-a8d8f71fe07b,7067a5c3-9d02-40fb-8159-93d2a13a1c59,2025-06-23 08:55:27.166185
3c231172-001f-4007-a87b-0a7407c3f928,47346cfd-b4c8-4bde-a3b7-1007eaf64ec3,2025-06-23 08:55:27.166250
407eb820-c5fc-47c3-b630-b471aa16f008,a23ec52a-3749-41a6-83dc-70de0f923ca7,2025-06-23 08:55:27.166314
876d1bb0-e641-4ad9-9ae9-d616f3dc6399,eb4a6694-1cb8-4819-965c-35512c7c31cd,2025-06-23 08:55:27.166377
5a811973-238e-4ca7-8f44-0cbd10e587e7,3cd6f268-83c7-4cc6-ab0d-4ff79f28213f,2025-06-23 08:55:27.166441
e616ac66-bd58-496e-b107-fb57cc7fde9c,2d3480d5-afd1-405e-8d44-9d0564acd737,2025-06-23 08:55:27.166504
805a6bc1-3b25-4983-8151-19bdc0c0e3c7,a002a034-3c14-4c76-97ac-235f91783a11,2025-06-23 08:55:27.166568
c563ee39-25d9-49e9-8ba2-e4f6cb1e373f,ac42a1ca-9469-4482-b0e1-05c39e06ea58,2025-06-23 08:55:27.166636
c563ee39-25d9-49e9-8ba2-e4f6cb1e373f,e4bb44ed-df0c-43f0-9c4e-eb03c3483b84,2025-06-23 08:55:27.166655
8566a8bb-fe13-48b4-a932-7f09d56ed581,74a40a07-9d19-47b8-82a3-87d6b3b56743,2025-06-23 08:55:27.166723
6468280a-a7b3-40ec-b1ca-54fcb7c7ebb5,7bab1a09-a7d8-4580-b763-07c93e66217c,2025-06-23 08:55:27.166789
dab22439-e72a-4a47-a99d-2877d4572d81,a501fa7a-bc0f-4242-b4a3-5976ea9cf01b,2025-06-23 08:55:27.166855
99f144f9-3865-4285-8282-a3fab0822adc,43daa6e5-2615-4e74-99bd-3b3d6a5f9b90,2025-06-23 08:55:27.166922
df583ab5-9021-4a88-8929-35c001df8dba,2458c56e-fdd8-4547-bc79-aacd1073412e,2025-06-23 08:55:27.166988
55008874-a447-4202-9a18-699f241f0ba3,5c016a25-8f45-4fa5-b502-9b94f85fef34,2025-06-23 08:55:27.167054
753feb76-83a3-4d4d-b58c-b6e84972eeac,8fe9eb8a-a3eb-44ed-83e2-e8cd4745a077,2025-06-23 08:55:27.167115
d8b06ac6-d049-43c5-94e4-5ee32e5447cb,c80de176-9f33-4bf1-885c-29a8da52b75e,2025-06-23 08:55:27.167177
eb250e8d-239d-4c4a-a8fe-78881ed889ba,d4ae5279-38bd-4810-a0ae-1bb2f4e62f52,2025-06-23 08:55:27.167238
b84b4ebd-0523-49dd-8642-3c842e0f3fab,251a358d-78a0-446a-af0f-75bc1836f86c,2025-06-23 08:55:27.167300
54b435f0-5da1-426f-9f55-fb43283110de,e22e3a5f-8a6a-4103-8abe-0d79e3b555c6,2025-06-23 08:55:27.167361
d1ea351f-6c70-416b-b65e-0c76d18c273c,85cc9187-bd9a-43cc-911e-142abc0c265f,2025-06-23 08:55:27.167422
43f6c55c-5d7f-4dc9-971e-a4402e4af7fe,e7278a9e-fcf3-45ec-9c33-63666df7a41c,2025-06-23 08:55:27.167483
0410bb5b-4bfe-4703-963a-5ed8d71d439d,c2c2ed99-8923-4c0d-869d-868013e2fe62,2025-06-23 08:55:27.167595
331020e8-e20e-4d0a-a960-385cc63cf7b7,506a17ad-07d0-48f2-9688-e5f1626de5fc,2025-06-23 08:55:27.167661
c903154f-f42b-4a07-9f54-460c6c8ab73c,12818022-0369-43e3-a2df-606c9b4be025,2025-06-23 08:55:27.167725
79151909-7a0b-48d4-817e-a07c581978bf,a62f8219-0341-48f7-a501-13335fc28d6b,2025-06-23 08:55:27.167787
3576f401-141c-40c2-8ce6-0c8507181787,cd5cb97f-16a2-4c94-9f70-e569404a66c6,2025-06-23 08:55:27.167850
7c405c19-51b0-4693-81a7-9075b7c9e762,4b52bfaf-0c80-47a8-865b-b8e368a39a2c,2025-06-23 08:55:27.167912
