uuid,date,url,is_correction,status,source,milestones,created_at,updated_at
7731fdba-bcf7-49a9-9d79-72b09de6e2c8,2021-09-30 00:00:00,https://docm.jccm.es/docm/./descargarArchivo.do?ruta=2021/09/30/pdf/2021_10505.pdf&tipo=rutaDocm,True,conditionally_approved,docm,"AAC,AAP,DIA,IP",2025-06-19 14:19:42.420955,2025-06-19 14:19:42.420962
2299f64d-6f5f-4bc2-90cd-9642f6d6c4b9,2024-12-31 00:00:00,https://bocyl.jcyl.es/boletines/2024/12/31/pdf/BOCYL-D-31122024-22.pdf,False,approved,bocyl,"DUP,IP",2025-06-19 14:18:35.816392,2025-06-19 14:18:35.816398
db082244-8251-4a6a-9d77-700b645d9a09,2021-08-05 00:00:00,https://www.caib.es//eboibfront/pdf/es/2021/104/1094388,False,approved,boib,DUP,2025-06-19 14:18:26.150337,2025-06-19 14:18:26.150343
93d8d508-9516-4939-9396-f11d7f204e61,2020-11-14 00:00:00,https://www.boe.es/boe/dias/2020/11/14/pdfs/BOE-B-2020-41546.pdf,False,approved,boe,"DUP,IP",2025-06-19 14:18:24.383521,2025-06-19 14:18:24.383528
4af39168-e9be-4962-82ac-a274b1ec2b0e,2021-12-02 00:00:00,https://docm.jccm.es/docm/./descargarArchivo.do?ruta=2021/12/02/pdf/2021_12476.pdf&tipo=rutaDocm,False,approved,docm,"AAP,IP",2025-06-19 14:19:43.343259,2025-06-19 14:19:43.343267
a74a0134-39ed-49d6-9df0-2f2ecd8a3635,2021-11-10 00:00:00,https://bocyl.jcyl.es/boletines/2021/11/10/pdf/BOCYL-D-10112021-25.pdf,True,approved,bocyl,IP,2025-06-19 14:18:39.392271,2025-06-19 14:18:39.392277
41c8ef64-0945-4051-ac37-f7848ac259f5,2023-11-01 00:00:00,https://www.boe.es/boe/dias/2023/11/01/pdfs/BOE-A-2023-22374.pdf,False,dismissed,boe,AAP,2025-06-19 14:18:10.130094,2025-06-19 14:18:10.130101
dcedd01c-1a30-40f6-bf0a-97590259753a,2024-01-30 00:00:00,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1314390180505,True,approved,boa,AAP,2025-06-19 14:19:15.804397,2025-06-19 14:19:15.804404
ae58ea41-bc5c-41aa-a201-63389ac953a9,2023-05-10 00:00:00,https://www.juntadeandalucia.es/boja/2023/87/BOJA23-087-00013-7693-01_00282732.pdf,False,approved,boja,,2025-06-19 14:18:57.094357,2025-06-19 14:18:57.094364
7746dc75-6f88-4b3d-a315-b9baaef8fa1d,2021-05-28 00:00:00,https://bocyl.jcyl.es/boletines/2021/05/28/pdf/BOCYL-D-28052021-41.pdf,False,approved,bocyl,IP,2025-06-19 14:18:38.728412,2025-06-19 14:18:38.728419
97617b81-7421-42b7-a61d-f59342b519b4,2025-05-07 00:00:00,https://www.boe.es/boe/dias/2025/05/07/pdfs/BOE-B-2025-16257.pdf,False,approved,boe,IP,2025-06-19 14:17:54.490889,2025-06-19 14:17:54.490895
949cf391-3502-4909-9a90-0a0652202d6e,2022-02-10 00:00:00,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=368817,False,approved,boc,IP,2025-06-19 14:17:40.731177,2025-06-19 14:17:40.731184
5ad3c16e-ea73-47ae-a8b5-11fc51080412,2021-10-13 00:00:00,https://bocyl.jcyl.es/boletines/2021/10/13/pdf/BOCYL-D-13102021-21.pdf,False,approved,bocyl,"AAP,IP",2025-06-19 14:18:40.041436,2025-06-19 14:18:40.041444
208e5dce-7184-4886-9ae0-2b2604533f0a,2023-05-29 00:00:00,https://www.boe.es/boe/dias/2023/05/29/pdfs/BOE-B-2023-16054.pdf,False,conditionally_approved,boe,"AAC,AAP,IP",2025-06-19 14:18:07.031525,2025-06-19 14:18:07.031531
be47468b-b8d2-411f-b703-b282a3277c61,2021-02-27 00:00:00,https://www.boe.es/boe/dias/2021/02/27/pdfs/BOE-B-2021-9579.pdf,False,approved,boe,"AAP,DIA,IP",2025-06-19 14:18:19.820480,2025-06-19 14:18:19.820486
b30397ce-1a2b-49be-ad91-1b4e8200d691,2021-05-13 00:00:00,https://docm.jccm.es/docm/./descargarArchivo.do?ruta=2021/05/13/pdf/2021_5680.pdf&tipo=rutaDocm,False,approved,docm,IP,2025-06-19 14:19:40.496726,2025-06-19 14:19:40.496734
83735598-4f06-4e90-b2d1-d831e78eae60,2022-05-25 00:00:00,https://doe.juntaex.es//pdfs/doe/2022/990o/22061546.pdf,False,approved,doe,DUP,2025-06-19 14:19:01.302347,2025-06-19 14:19:01.302354
8b9d03ff-ef4e-4563-aa0b-9f0f9564ea04,2020-11-16 00:00:00,https://www.boe.es/boe/dias/2020/11/16/pdfs/BOE-B-2020-41854.pdf,False,approved,boe,"DUP,IP",2025-06-19 14:18:24.238392,2025-06-19 14:18:24.238398
0162c3a5-1401-4cfa-9ab1-b164b915e9b5,2025-02-21 00:00:00,https://www.boe.es/boe/dias/2025/02/21/pdfs/BOE-B-2025-6088.pdf,False,approved,boe,"AAC,AAP,DUP,IP",2025-06-19 14:17:55.105861,2025-06-19 14:17:55.105866
cdfeb8dd-62cb-4a19-81f9-51212ff3f540,2024-04-26 00:00:00,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1328681581010,False,approved,boa,"DUP,IP",2025-06-19 14:19:15.134963,2025-06-19 14:19:15.134970
baabdded-9b5f-466f-9fdb-24673d01d9dd,2021-03-13 00:00:00,https://www.caib.es//eboibfront/pdf/es/2021/35/1082545,False,approved,boib,IP,2025-06-19 14:18:25.943621,2025-06-19 14:18:25.943631
4adf53af-5777-4512-b3d3-19d0aa08f476,2024-08-05 00:00:00,https://dogv.gva.es/datos/2024/08/05/pdf/2024_8058_es.pdf,False,approved,dogv,"AAC,AAP",2025-06-19 14:18:50.805629,2025-06-19 14:18:50.805636
5ba0f87c-3759-4069-8ec0-b6956bf2f3d9,2022-04-20 00:00:00,https://sede.gobiernodecanarias.org/boc/boc-a-2022-076-1315.pdf,True,approved,bocs,"DIA,DUP,IP",2025-06-19 14:19:25.181678,2025-06-19 14:19:25.181685
b724ec7a-55ec-413f-9d06-32e6bd8116aa,2024-09-18 00:00:00,https://doe.juntaex.es//pdfs/doe/2024/1820o/24062906.pdf,False,approved,doe,AAP,2025-06-19 14:19:04.536850,2025-06-19 14:19:04.536856
036fab7a-fc3a-4530-87f4-f0c43eb39aef,2023-04-28 00:00:00,https://www.boe.es/boe/dias/2023/04/28/pdfs/BOE-A-2023-10302.pdf,False,approved,boe,AAP,2025-06-19 14:18:06.142905,2025-06-19 14:18:06.142911
b71197c9-cba8-4918-b018-6ac25d742956,2025-02-20 00:00:00,https://bocyl.jcyl.es/boletines/2025/02/20/pdf/BOCYL-D-20022025-34.pdf,False,approved,bocyl,"AAC,AAP,DUP,IP",2025-06-19 14:18:31.306070,2025-06-19 14:18:31.306075
39c40c9c-8b02-4341-a3f0-2eb05d170856,2024-10-02 00:00:00,http://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=31371260-1-PDF-564371,False,approved,bor,"AAC,AAP",2025-06-19 14:18:59.557246,2025-06-19 14:18:59.557252
